08 16 30.95 08 16 30.95	 290
08 44 41.11	18 09 17.5	136
08 46 41.83	28 45 36.0	298
08 58 29.20	11 51 28.0	173
08 43 17.21	21 28 06.9	158
08 12 12.71	17 38 53.3	83
08 20 03.87	27 13 07.0	59
08 25 54.79	07 33 52.3	359
08 05 04.51	13 07 06.1	210
09 09 21.53	22 02 43.6	380
08 57 14.91	15 19 21.8	160
08 55 39.69	27 55 39.2	574
08 59 32.68	32 25 07.1	320
09 07 44.82	10 40 05.6	484
08 07 45.84	21 34 55.1	76
08 31 35.77	18 05 40.4	494
08 32 42.52	20 26 28.6	312
09 15 13.88	14 56 29.5	701
08 54 14.70	30 34 45.0	365
09 08 00.07	29 39 15.2	260
08 55 55.56	11 37 33.8	582
08 56 56.63 32 54 38.1	195
09 02 44.27	24 27 10.6	457
08 26 43.95	12 39 17.5	1052
08 26 27.73	27 53 37.9	398
08 00 47.31	17 18 31.4	721
08 13 08.87	29 39 23.7	872
08 43 12.34	12 40 51.1	1028
08 44 45.04	10 04 54.2	408
08 52 34.62	32 28 26.8	204
08 57 35.16	15 34 52.4	161
08 31 30.57	24 04 52.4	237
08 10 27.23	25 30 29.4	137
07 56 59.47	15 47 25.4	462
08 20 20.93	20 44 52.2	510
09 02 44.82	07 17 53.7	664
08 00 55.86	25 23 34.2	1124
08 46 56.06	12 06 36.3	199
09 01 24.13	32 15 08.3	509
08 35 51.05	06 37 13.9	87
08 20 32.15	24 01 20.5	419
08 37 05.79	09 39 20.1	461
08 23 21.87	18 19 56.2	395
08 28 37.35	14 12 39.1	308
09 08 47.42	26 37 48.0	102
08 06 18.40	22 38 07.8	626
08 38 19.00	32 48 07.3	367
08 52 36.13	28 19 53.0	41
08 01 30.29	16 27 19.2	472
08 12 59.74	16 30 51.7	528
08 34 13.35	08 27 08.5	189
09 10 20.86	21 59 47.1	420
09 10 38.81	30 57 47.6	397
07 58 31.48	16 31 07.3	1399
07 59 35.07	13 14 31.9	301
08 28 36.80	24 08 42.2	271
09 01 48.88	27 54 10.0	191
08 11 16.60	09 49 16.6	872
08 23 55.21	10 37 55.6	1113
08 25 49.99	17 02 47.9	147
08 45 21.42	30 41 51.9	477
09 21 27.17	32 54 07.9	317
08 57 08.30	17 08 37.8	384
08 57 42.03	09 23 16.0	956
08 04 45.32	18 50 31.4	299
08 05 37.05	27 31 47.1	934
08 40 18.31	31 56 31.1	350
08 10 58.90	14 37 46.3	581
08 08 42.44	13 38 27.4	278
08 52 28.60	28 15 33.0 	886
08 57 58.63	30 14 01.5	164
08 33 45.06	13 15 26.7	306
08 17 31.66	08 51 58.8	1062
08 55 22.88	17 13 52.5	3622
08 40 27.03	19 32 41.4	548
08 00 48.10	19 48 58.4	345
08 26 47.08	26 56 07.7	277
08 59 10.76	18 08 06.1	697
08 01 43.77	25 05 22.0	598
08 36 07.71	15 18 49.3	267
08 01 00.79	23 34 59.4	276
08 33 00.14	24 05 05.7	421
08 51 01.53	15 21 01.7	130
08 14 21.01	13 02 54.0	776
08 40 06.44	20 00 28.1	587
09 07 27.01	22 58 51.1	192
09 17 51.36	11 30 04.1	542
08 50 45.13	18 49 56.1	762
08 18 14.43	15 40 40.6	485
08 40 22.11	19 40 11.9	756
08 10 13.12	25 50 40.4	1032
08 39 24.57	08 01 03.6	551
09 04 55.12	32 22 37.2	259
08 09 35.19	29 05 35.1	3928
08 14 11.14	17 40 33.3	329
09 08 04.21	32 32 25.6	349
08 32 39.87	10 03 57.7	541
09 09 46.45	11 33 52.3	123
09 13 37.27	21 16 59.6	496
08 59 26.89	13 04 27.9	1294
09 12 17.87	14 59 43.6	67
08 31 41.31	18 59 16.0	1025
